Customer Lifetime Value,Response,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount,Vehicle Size
2763.519279,No,Basic,Bachelor,Employed,F,56274,Suburban,Married,69,32,5,0,1,384.811147,Medsize
6979.535903,No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,94,13,42,0,8,1131.464935,Medsize
12887.43165,No,Premium,Bachelor,Employed,F,48767,Suburban,Married,108,18,38,0,2,566.472247,Medsize
7645.861827,No,Basic,Bachelor,Unemployed,M,0,Suburban,Married,106,18,65,0,7,529.881344,Medsize
2813.692575,No,Basic,Bachelor,Employed,M,43836,Rural,Single,73,12,44,0,1,138.130879,Medsize
8256.2978,Yes,Basic,Bachelor,Employed,F,62902,Rural,Married,69,14,94,0,2,159.383042,Medsize
5380.898636,Yes,Basic,College,Employed,F,55350,Suburban,Married,67,0,13,0,9,321.6,Medsize
7216.100311,No,Premium,Master,Unemployed,M,0,Urban,Single,101,0,68,0,4,363.02968,Medsize
24127.50402,Yes,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,511.2,Medsize
7388.178085,No,Extended,College,Employed,F,28812,Urban,Married,93,17,7,0,8,425.527834,Medsize
4738.992022,No,Basic,College,Unemployed,M,0,Suburban,Single,67,23,5,0,3,482.4,Small
8197.197078,No,Basic,College,Unemployed,F,0,Suburban,Married,110,27,87,0,3,528,Medsize
8798.797003,No,Premium,Master,Employed,M,77026,Urban,Married,110,9,82,2,3,472.029737,Medsize
8819.018934,Yes,Basic,High School or Below,Employed,M,99845,Suburban,Married,110,23,25,1,8,528,Medsize
5384.431665,No,Basic,College,Employed,M,83689,Urban,Single,70,21,10,2,8,307.139132,Medsize
7463.139377,No,Basic,Bachelor,Employed,F,24599,Rural,Married,64,12,50,1,2,42.920271,Medsize
2566.867823,No,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,454.245098,Medsize
3945.241604,No,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,647.442031,Medsize
5710.333115,No,Basic,College,Employed,M,51148,Urban,Married,72,9,1,0,7,308.981664,Medsize
8162.617053,No,Premium,High School or Below,Employed,F,66140,Suburban,Married,101,11,21,0,3,484.8,Small
2872.051273,No,Basic,High School or Below,Employed,M,57749,Suburban,Single,74,31,21,0,1,355.2,Medsize
3041.791561,No,Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,379.2,Medsize
24127.50402,Yes,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,511.2,Medsize
2450.190996,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,73,4,44,3,1,554.376763,Medsize
2392.10789,No,Basic,Bachelor,Disabled,F,17870,Suburban,Married,61,30,91,0,1,439.2,Medsize
5802.065978,No,Basic,College,Employed,M,97541,Suburban,Married,72,22,1,0,3,389.185006,Large
3946.372085,No,Premium,Bachelor,Unemployed,F,0,Suburban,Single,111,15,47,0,1,799.2,Small
5346.916576,No,Extended,Master,Disabled,F,10511,Urban,Married,139,33,64,0,1,516.237951,Medsize
12902.56014,No,Premium,College,Employed,F,86584,Suburban,Single,111,33,54,2,2,532.8,Large
3235.360468,No,Extended,Master,Employed,F,75690,Suburban,Married,80,17,44,1,1,384,Small
2454.58354,No,Basic,College,Employed,M,23158,Suburban,Married,63,4,6,1,1,322.294043,Small
18975.45611,No,Extended,High School or Below,Employed,M,65999,Urban,Married,237,1,14,0,6,615.927769,Medsize
4715.321344,No,Basic,Bachelor,Unemployed,M,0,Urban,Married,65,19,56,0,3,308.15089,Medsize
5018.885233,No,Basic,Bachelor,Employed,M,54500,Suburban,Married,63,28,17,0,6,302.4,Small
4932.916345,No,Basic,Bachelor,Employed,F,37260,Rural,Married,62,19,42,0,8,15.437681,Medsize
5744.229745,No,Basic,High School or Below,Employed,F,68987,Urban,Married,71,11,40,0,6,204.475147,Medsize
13891.73567,No,Premium,Bachelor,Employed,M,42305,Suburban,Married,117,10,62,0,2,561.6,Small
7380.976717,No,Extended,Master,Employed,F,65706,Suburban,Married,91,19,86,0,8,436.8,Small
3090.034104,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,90,7,79,0,1,648,Small
2521.633095,No,Basic,High School or Below,Employed,M,53243,Rural,Divorced,66,4,15,2,1,157.397849,Medsize
2652.061785,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,70,7,1,1,1,484.318536,Medsize
2771.045031,Yes,Basic,College,Employed,F,50071,Rural,Single,71,3,32,0,1,18.918935,Medsize
3939.00637,Yes,Extended,Bachelor,Employed,F,60021,Suburban,Married,99,12,28,0,1,882.871945,Small
12231.87968,No,Basic,High School or Below,Employed,M,43244,Suburban,Married,103,15,16,0,2,494.4,Medsize
2443.665166,No,Basic,College,Employed,M,92834,Suburban,Married,61,15,56,0,1,292.8,Large
12819.10289,No,Premium,Doctor,Disabled,F,10105,Rural,Married,172,5,4,3,3,0.517753,Medsize
4468.510542,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,7,57,3,5,579.165954,Medsize
5514.344018,No,Basic,High School or Below,Employed,F,23218,Suburban,Single,71,7,10,0,4,447.79344,Medsize
3343.875326,No,Extended,Bachelor,Unemployed,F,0,Suburban,Married,92,11,77,0,1,529.624084,Medsize
2294.478927,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,62,11,56,0,1,313.023175,Medsize
36707.42639,No,Basic,College,Employed,M,24804,Suburban,Married,104,1,28,0,2,593.830288,Small
33473.34946,Yes,Basic,Bachelor,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,508.8,Medsize
7983.431709,No,Basic,High School or Below,Employed,F,36014,Rural,Married,69,4,40,3,2,173.956072,Medsize
4854.745666,No,Basic,Bachelor,Employed,M,29834,Suburban,Single,64,19,44,0,3,307.2,Medsize
4293.997319,No,Premium,Bachelor,Disabled,M,16701,Suburban,Married,113,20,26,0,1,831.625979,Small
7164.395543,No,Extended,College,Employed,F,46623,Suburban,Divorced,91,1,53,0,3,436.8,Small
7619.5158,No,Basic,College,Employed,M,64749,Urban,Married,64,24,59,0,2,302.56519,Medsize
3958.002823,No,Basic,High School or Below,Unemployed,F,0,Suburban,Married,101,29,12,0,1,484.8,Small
